ID	type	address	area	rooms	sqm_price	description
186	flat	"al. Wodna 694
74-583 Jarosław"	46	4	9900	Informacja sobą odpowiedź figura teoria. Urządzenie wyspa podnieść Włochy treść.
187	flat	"plac Szkolna 125
20-459 Grudziądz"	68	5	10331	Mapa minuta itp. np. biuro obserwować świnia.
188	building	"ul. Głogowa 86
59-105 Kraśnik"	95	6	8504	Dzisiaj krzyż terytorium konflikt but rodzic radiowy. Trzydzieści daleko profesor czasem półwysep.
189	flat	"pl. Promienna 80/73
92-566 Gliwice"	24	2	7171	"Wskazywać 1 Hiszpania. Szósty do słuchać wyspa słodki.
Hasło dopiero wszystkie rodzinny kolorowy."
190	building	"aleja Górska 01
53-046 Wałcz"	79	5	7727	Kolej różny obserwować należeć region rodzina. Proszę Pan stracić wpływ przyjąć sport.
191	building	"ulica Lelewela 89
61-180 Gniezno"	92	6	5847	Ilość miesiąc Afganistan sam sam szereg. Żelazo ząb mapa gość 4 ?.
192	flat	"ulica Mickiewicza 94
45-647 Sopot"	37	3	7463	Igła południe zachowywać się dziadek północny. Parlament sądzić srebrny ruch internetowy.
193	building	"al. Sosnowa 99/84
39-509 Zambrów"	84	5	6496	Gorący nauka tłuszcz odważny kino w wyniku. Zamiar wtedy plan zakład.
194	flat	"plac Szczęśliwa 35
05-904 Malbork"	23	2	11787	Płacić pani daleki kosztować.
195	building	"ulica Skrajna 29
14-768 Nowy Sącz"	163	10	8459	Wybitny spadek jeżeli zjawisko. Spotkać gałąź ta technika napisać.
196	flat	"aleja Wolności 06/51
32-973 Tarnów"	50	4	11805	Psychiczny niebezpieczny ryzyko. Konstrukcja angielski 900 móc poruszać się ciemny Anglia.
197	flat	"plac Jesienna 27
10-552 Głogów"	39	3	10277	Chrześcijaństwo wiele otwierać należeć poprzez ostry blady przychodzić. Dół państwo przygotować.
198	flat	"al. Liliowa 783
60-212 Bydgoszcz"	50	4	9026	Wieczorem ten sam podatek walczyć las publiczny tarcza. Właściwy chemiczny przyjaźń tytoń.
199	flat	"ulica Czarnieckiego 56
92-167 Myszków"	50	4	11699	"Pora pełen znów główny włos zamykać.
Kierować ziemia wokół w czasie."
200	building	"ul. Zbożowa 48/27
09-382 Grodzisk Mazowiecki"	135	9	9013	Święty przestać prostytutka transport pojęcie możliwość.
201	flat	"ulica Kolorowa 54
68-129 Gdańsk"	21	2	11053	Przebywać właśnie pojawić się otworzyć przyszłość. Lew bóg aby czy proszę.
202	building	"ul. Słoneczna 887
68-549 Siedlce"	123	8	9387	Górski opinia książka księżyc królewski jutro. Rana słownik smutek pijany użycie wioska oddech.
203	building	"ulica Daleka 87
82-815 Świdnik"	81	6	7819	Jedynie produkcja przestać nauczyciel Bóg. Nastrój srebro wybory. Publiczny prawny rodzaj.
204	flat	"plac Maczka 43
06-836 Płońsk"	43	4	11946	Dobro ocean wrogi średniowieczny dzieło składnik. Przechodzić lubić słowo bułgarski.
205	building	"ulica Kazimierza Wielkiego 33/28
26-177 Ostrowiec Świętokrzyski"	69	5	5804	Wojna burza typ. Łączyć ocean użytkownik jednostka ze.
206	building	"aleja Sadowa 423
36-546 Olkusz"	80	5	8897	Źródło podróżować okres fakt ciągnąć leczenie. Kolumna stanowisko trzydzieści zbyt od ładny.
207	building	"ul. Powstańców 794
67-465 Mława"	163	10	8452	"Natura koszula toponim.
Ozdoba piwo wysyłać kosz. Zasada fala wina gaz."
208	building	"ul. Lotnicza 78/55
27-619 Rybnik"	79	5	5100	Kłopot władca patrzeć gałąź zajmować. Zajmować usuwać grzech spokojny w celu muzyk niemiecki.
209	building	"plac Powstańców Wielkopolskich 68
21-016 Jarocin"	157	9	8453	Drzewo waluta po prostu. Wiedza noc film ośrodek umieszczać rola.
210	building	"plac Piekarska 15/42
75-821 Iława"	112	7	6770	Wygrać wizyta hotel. Model klub we koniec drzewo. Warzywo igła chronić ludzki nocny niski.
211	building	"al. Prosta 841
98-156 Ostrów Mazowiecka"	81	6	7851	Okolica on hasło dodać różny hałas mózg. Dół włoski nasz oni oddział.
212	building	"pl. Wiejska 90
46-141 Konin"	58	5	8472	Umowa gorący posiadać odważny. Wiek element tutaj złapać.
213	flat	"aleja Jeżynowa 675
14-341 Ząbki"	40	3	7459	Mięso drapieżny prosty ćwiczenie działać o grać zaczynać. Litera nocny stary.
214	building	"pl. Klasztorna 87/11
79-079 Mikołów"	71	5	8871	Kieszeń użytkownik nigdy żart. Rodzic dotyczyć tarcza obiekt przyrząd małżeństwo przyszłość.
215	building	"pl. Piwna 21
39-550 Świebodzice"	116	8	6905	Odwaga decyzja badanie babcia.
216	building	"ulica Niepodległości 76
40-798 Bełchatów"	72	5	5198	Związany pod dziura mocny planeta nieść praca.
217	building	"pl. Kilińskiego 30
35-017 Wejherowo"	108	8	7267	Jakby długo rosnąć mąka lekki kolej zimno. Promień doskonały pracownik złoty sala.
218	flat	"ul. Wypoczynkowa 93
53-375 Bartoszyce"	46	4	10104	W Wyniku pojęcie przyjemny miara. Dla motyl ośrodek służyć dostać 100.
219	building	"pl. Dworska 11/43
31-726 Legionowo"	64	5	9032	Gniew Niemcy kontakt. Taniec publiczny północ dzisiaj wyraz zapis płyn dom.
220	flat	"ul. Reymonta 112
59-199 Opole"	49	4	8376	Relacja cesarz nie równy. Rak zdrowie spotkać.
221	building	"ulica Ptasia 47/01
49-280 Kołobrzeg"	101	6	7474	Dane 1 maj wierzyć czerwony. Średniowieczny wymagać technika wspólnota wzrok.
222	flat	"pl. Olchowa 484
02-430 Inowrocław"	50	4	9563	Odważny danie minister pomoc Belgia trzydzieści. Czytać następować proces lista tablica modlitwa.
223	flat	"aleja Rejtana 82/77
85-405 Malbork"	52	4	7687	Religijny społeczny mężczyzna. Tydzień bar alkoholowy gęsty.
224	building	"al. Brzoskwiniowa 914
41-801 Mikołów"	128	9	6064	Babka powód panować kartka.
225	building	"aleja Słowicza 81
72-423 Tczew"	122	8	6327	Wydać płaski pojęcie liść wreszcie odpowiadać. Zazwyczaj lipiec siostra doświadczenie poważny.
226	flat	"aleja Mickiewicza 25/65
14-379 Piekary Śląskie"	63	5	10644	Deska wygląd pomagać jednak krew. Podróż dziewczynka cmentarz łatwy. Suchy polować chcieć.
227	building	"aleja Handlowa 73/39
57-457 Szczecinek"	77	6	6230	Zupełnie wychodzić wada ludowy jakość czwarty. Europejski w pomoc skłonność społeczny.
228	building	"pl. Jarzębinowa 31
13-030 Biłgoraj"	115	7	9324	Podawać europejski kontrola księżyc.
229	flat	"pl. Podwale 74
18-856 Opole"	60	5	8120	But pięćdziesiąt lub dostać autobus. Otoczenie znów trzy.
230	building	"ul. Piekarska 54
49-636 Wągrowiec"	98	7	9539	Ale osiem znowu przerwa upadek klasa. Dobrze wąż rak. Ciało podnieść dane tutaj potrzebny.
231	flat	"al. Miodowa 708
47-663 Kościerzyna"	28	2	11415	Szybki stacja niedziela centralny radiowy wywodzić się może. Osiem nastrój po dany.
232	building	"ul. Wojska Polskiego 08/07
61-400 Zakopane"	132	9	5237	Wiadomość obserwować kąt skłonność wakacje itp. książka letni.
233	building	"ulica Kazimierza Wielkiego 30
71-402 Koszalin"	135	9	9272	Surowy noga brat przyszły. Krzew gdzieś głowa.
234	flat	"pl. Bolesława Chrobrego 969
70-234 Sanok"	56	4	7636	Autobus filozofia czapka utwór liczny przeszłość. Jakość mecz lek prezydent dno zdjęcie.
235	building	"al. Jana Pawła II 13
56-027 Ząbki"	135	9	7703	Piękny oddech żyć Europa skóra. Prosić kult bądź USA plan fizyczny warunek.
236	building	"aleja Magnoliowa 049
36-923 Olkusz"	125	8	7993	Równy powstawać nadzieja. Zegar ośrodek wracać wysiłek.
237	building	"plac Ściegiennego 76
64-295 Wałbrzych"	147	9	8573	Ślad zarówno USA rządzić gdzie. Słoń wschód nie- wydać też fragment tu.
238	flat	"pl. Pogodna 62/66
13-661 Wągrowiec"	54	4	8427	"Wewnętrzny but jabłko pokarm statek obywatel zaś.
Płeć cierpieć następny Piotr usuwać barwa."
239	building	"al. Wypoczynkowa 138
32-012 Kraków"	158	10	6227	Metal okoliczność brat. Majuskuła 30 strumień dzisiejszy.
240	building	"ul. Rynek 74/33
04-591 Świdnica"	77	5	7198	Rower w czasie równy piękny brązowy noc. Woda żona znaczny oba. Deska restauracja 900.
241	flat	"ul. Wiślana 36/78
68-578 Białogard"	67	5	9402	Dalej kultura zniszczyć trzydzieści zmieniać postać. Babcia mgła przyrząd spać bronić 0 władca.
242	flat	"ulica Łanowa 79
43-362 Bielsko-Biała"	57	5	11057	Wpływ muzyka odważny prawda dno -. Pogoda czoło dokładny spać owoc.
243	flat	"ulica Rejtana 93
08-359 Białystok"	33	3	8509	Energia włoski drugi zły. Odwaga bar gęś podłoga.
244	building	"ul. Skłodowskiej-Curie 69/40
45-630 Myszków"	94	7	8638	Naukowy bo właśnie dawać lis. Wierny gmina jutro powolny.
245	building	"plac Skłodowskiej-Curie 921
04-772 Skierniewice"	142	10	9119	Afryka koszt rzucić lista. Ta wykonać wybitny Węgry.
246	building	"ulica Norwida 78
47-343 Kwidzyn"	151	9	8854	0 pozostać modlitwa obiekt myśleć sytuacja ciało.
247	building	"pl. Narcyzowa 80/46
60-640 Legionowo"	109	7	7918	Lew akcja dlaczego wnętrze 60 herbata. Porządek ubranie spotkanie stały tutaj.
248	building	"pl. Poznańska 60/85
32-033 Kalisz"	133	9	5426	Zielony już odpowiedni trzydzieści. Strach kolano otrzymywać sposób istota towar biblioteka.
249	flat	"al. Reymonta 402
88-134 Nowa Sól"	50	4	9077	Widok książę wytwarzać brat błąd bieda skała śmiać się. Wino poruszać się cmentarz.
250	flat	"pl. Floriana 35/56
10-144 Kędzierzyn-Koźle"	36	3	11304	Gospodarka sędzia kula odwaga doświadczenie prawo prezydent też. Pochodzenie układ ślad pan głód.
251	flat	"ulica Długosza 45
04-962 Giżycko"	42	3	10501	Bóg mały 100 atak bajka. Czasownik złodziej rozmawiać rolnik również.
252	building	"aleja Sikorskiego 10/95
50-925 Piotrków Trybunalski"	72	5	9233	Przyszłość tysiąc bilet znany śmiać się. Zjawisko wątpliwość odwaga temu.
253	building	"pl. Grunwaldzka 83
26-886 Olkusz"	101	6	9763	Wtorek znajdować się towar. Zimny przyjemny cena ptak.
254	flat	"ulica Lwowska 12/01
58-178 Biłgoraj"	61	5	7849	Narzędzie złoto centrum prawo płaski. — więc przemysł 6 drewno pijany.
255	flat	"pl. Szkolna 493
01-855 Ostrołęka"	37	3	9369	Wieczór stan wydawać się stanowić. Działać miejsce małpa kupić żywność grób.
256	building	"pl. Floriana 25/80
22-380 Gniezno"	91	6	6094	Chrześcijaństwo zgadzać się polegać z powodu sztuczny pochodzenie umieścić leżeć.
257	flat	"al. Srebrna 03
20-660 Wałcz"	57	5	7986	Ozdoba atak sylaba proces ludność po. Rozmiar gęsty słowo źródło mierzyć przybyć.
258	building	"plac Gdańska 72/71
55-982 Olkusz"	77	5	5641	Wysokość jedzenie gatunek organ zupełnie Białoruś wkrótce.
259	flat	"ulica Hallera 00/55
39-287 Czeladź"	39	3	8737	Układ Okresowy porządek olej grzech brzeg nieprzyjemny paliwo. Fałszywy bez zima.
260	building	"pl. Długa 98
65-562 Skawina"	108	8	8303	Korzystać smak chęć penis. Służyć niebo potrafić niebezpieczny.
261	flat	"plac Źródlana 43
01-275 Radomsko"	29	2	11344	Gość opowiadać życie mapa kiedyś lampa. Nie Ma żaden przed odczuwać tworzyć aby.
262	flat	"plac Szmaragdowa 26/59
87-934 Krosno"	48	4	11542	Zamiar zazwyczaj linia linia widok góra prawda pas. Walczyć ogólny średni wybrzeże.
263	building	"aleja Krasińskiego 159
16-799 Wałbrzych"	136	9	5363	Babka klasztor różnica urząd daleko wodny. Czekolada waga bank pierwiastek chemiczny.
264	building	"ul. Wczasowa 76/35
33-923 Świebodzice"	151	9	6806	Gra robota religijny polski los. Kwiecień duński tylko bóg. Pasmo materiał panować powinien należy.
265	building	"ulica Kościuszki 79/53
79-533 Jaworzno"	107	7	7764	Dotyczyć seksualny jednak rzeczywistość zakładać na przykład. Twardy planeta luty nastrój ochrona.
266	building	"plac Skargi 20
93-021 Nowy Sącz"	148	9	8385	Promień Polska jedzenie wy żołądek. Rano pszczoła zrozumieć katolicki istota zakon.
267	building	"plac Sportowa 23
57-451 Racibórz"	112	8	5185	Polityczny możliwość sam taniec. Proces wiosna rak pływać efekt. Chodzić rzucić ?.
268	flat	"aleja Cegielniana 46/15
13-752 Kwidzyn"	39	3	11976	Świątynia alkohol kilometr turecki przemysł. Sos znaczyć drzewo szanowny zawsze wytwarzać.
269	building	"aleja Wiklinowa 83/53
18-171 Sieradz"	91	6	6258	Wybrać Europa co brudny. Głupi grać Izrael.
270	flat	"al. Chabrowa 82
30-347 Tomaszów Mazowiecki"	49	4	7874	Miękki symbol suchy.
271	flat	"ulica Wrocławska 25
13-190 Lębork"	47	4	10763	Pytanie pamiętać związany okazja. Charakter — widok wracać że. Naród zupełnie stado forma stosować.
272	flat	"aleja Dobra 40
29-322 Wejherowo"	45	4	11838	Efekt okręt zielony okres Azja komputer wujek. Chodzić 1 flaga nic prowincja całkowity.
273	building	"plac Młynarska 29
05-479 Śrem"	79	5	7947	Herbata mieć na imię towar banknot walka bułgarski wiele. Podróżować plama Grecja fala.
274	building	"pl. Kasprowicza 59
37-268 Rzeszów"	65	5	9124	Kierować pająk bezpośrednio.
275	building	"pl. Powstańców Wielkopolskich 466
59-483 Marki"	112	7	9421	Lekki wątpliwość ciężar bogactwo połowa zdolny. Pojemnik stowarzyszenie jeżeli gałąź on wykonywać.
276	building	"al. Sarnia 58
43-918 Opole"	115	9	7649	20 kierunek stworzyć mieszkać w celu. Drogi latać leżeć trudno.
277	building	"al. Sadowa 812
21-123 Wodzisław Śląski"	132	8	9758	Sobota zero urządzenie wizyta odcinek muzeum.
278	flat	"pl. Makuszyńskiego 79
72-416 Kielce"	27	2	10540	Układ Okresowy akt między strefa napisać oba. Kontynent obowiązek obwód.
279	building	"aleja Letnia 665
58-999 Kielce"	82	5	7603	Społeczeństwo przeszłość dużo udział. But Bóg typowy dziesięć rzadki koszt dawno deszcz.
280	flat	"plac Jagodowa 83/65
50-090 Konin"	38	3	8581	Pomidor impreza graniczyć październik.
281	flat	"ulica Tysiąclecia 73
43-664 Kościan"	33	3	7474	Grecki rzadki zimno bóg.
282	flat	"aleja Wałowa 21/12
14-355 Brodnica"	27	2	9386	Obrona jajko woda błoto. Kolej czwartek rzucać produkt.
283	building	"pl. Jana 62
07-682 Śrem"	82	5	9229	Kilometr wiersz stolica. Powiedzieć no szary alkoholowy stacja górski okoliczność.
284	building	"plac Królewska 65
86-728 Luboń"	137	9	5127	"Świadczyć wyścig lęk dyrektor użyć łuk. Transport stado miłość w..
Cukier to rzadko karta zawsze."
285	building	"ul. Piastowska 04/02
57-144 Żyrardów"	77	6	7557	Koszula niebieski niebieski. Transport stacja dziś tydzień kto chłopak złapać.
286	building	"plac Cyprysowa 84/21
46-216 Włocławek"	117	8	5576	Kraków metalowy ocean system produkt drużyna praktyka. Mocno miejscowość pomidor.
287	flat	"aleja Zacisze 27
75-075 Łuków"	57	5	8595	Oś nieprzyjemny i ubranie może jakość 7.
288	building	"pl. Młyńska 49/40
24-089 Częstochowa"	122	8	8476	Słyszeć południowy wywodzić się pasek charakterystyczny tańczyć.
289	flat	"al. Rubinowa 60
49-406 Świętochłowice"	23	2	10408	Odległość oś komputer ja. 60 rodowity pełny różowy.
290	building	"al. Lwowska 86/92
92-379 Krosno"	142	10	10000	Kolejny trzy uniwersytet. Dolny aby biuro otoczenie. Opowiadać marka jaki grupa.
291	building	"aleja Świerczewskiego 72
17-774 Łowicz"	135	9	8767	Przybyć źródło wiosna niewielki sylaba posiłek wiosna. To zachód znów św. oraz stół.
292	flat	"ulica Morelowa 80
88-395 Chełm"	34	3	11797	Intensywny zajęcie wyścig muzeum istnieć minuskuła cel. Chłopak lustro chmura Francja.
293	flat	"pl. Wieniawskiego 573
98-124 Lubartów"	66	5	9200	Wrogość ktoś chłopak wyrażać. Ciekawy sto ciąża osoba krew.
294	building	"al. Lwowska 28/01
49-927 Żory"	103	7	5938	Niebezpieczeństwo gwiazdozbiór wybory pogląd iść kontynent. Żółty także dokładnie gmina w wyniku.
295	flat	"aleja Środkowa 25
63-621 Mikołów"	63	5	8910	Drogi cichy przechodzić praktyka lata wątpliwość. Społeczeństwo hasło bydło połączyć czas przyjść.
296	building	"aleja Wczasowa 282
26-409 Białystok"	94	6	9637	Z wybrzeże chiński wina urodzenie mężczyzna polski.
297	building	"plac Poziomkowa 80/99
52-576 Kalisz"	127	9	9469	Czy cel wykonywanie spór św. lampa Kraków.
298	flat	"aleja Cyprysowa 55/75
46-045 Łódź"	61	5	11947	"Mecz nawet zabić lotniczy drzewo.
Zaburzenie rzeka szwedzki budzić papież."
299	flat	"al. Rajska 22/01
65-427 Łuków"	50	4	10965	Pomiędzy urządzenie prawny mało szkło prowincja Włochy dziadek. Arabski jazda by sklep.
300	flat	"pl. Krokusowa 83/31
17-318 Ostrowiec Świętokrzyski"	22	2	10820	Papież pora zwierzę zwyczaj numer. Zwłaszcza fakt moc kolega. Pojazd dziewczyna aktywny gra.
301	building	"pl. Turystyczna 31
14-338 Kutno"	123	8	5080	Klimat zawierać zarówno wieś. Srebrny studiować słoneczny zbiór wodny czyli umieścić.
302	building	"pl. Glówna 02
20-087 Brodnica"	118	7	8699	"Izrael strona kula parlament.
Pozycja zainteresowanie odpowiedź narodowy but telewizja."
303	building	"pl. Konopnickiej 264
28-971 Środa Wielkopolska"	98	6	8238	Mrówka wiele pas tytuł.
304	flat	"al. Jabłoniowa 638
89-345 Łowicz"	38	3	7914	Płaski filozofia okropny. Gaz tani jadalny książę działać myśl.
305	building	"plac Kowalska 66/90
40-936 Nowy Targ"	128	9	5764	Coś zwolennik przecież tarcza. Ładny odpowiedni 9.
306	building	"al. Sucharskiego 633
92-472 Nowa Sól"	72	5	6557	Pisać przechodzić palec białoruski praca spadek. 7 strumień dane pogląd położyć gałąź przy wyrażać.
307	flat	"ulica Piekarska 52/81
37-965 Mińsk Mazowiecki"	69	5	8937	"Wpływ otoczenie park dalej sos wynosić go.
Poprzez handel ukraiński miejski. Chwila ulegać 6 ich."
308	building	"ulica Dojazdowa 746
96-078 Piaseczno"	81	5	8741	Spać podawać łódź. Wynosić gospodarka styl.
309	flat	"plac Chopina 58
41-553 Skarżysko-Kamienna"	60	5	8288	Grecja kłaść czarny zamiast dziecięcy głośny cichy. Zły oddać historia wyjść Chiny.
310	flat	"plac Wiatraczna 34/42
08-110 Żary"	47	4	9969	Zeszły dawny głęboki metoda dziś.
311	building	"al. Akacjowa 38/87
89-154 Gliwice"	81	6	6535	Wódka Niemcy wskazywać wszystkie wtedy. Szkło umowa pora ziemski krew powoli całkowity.
312	building	"pl. Głogowa 48
99-521 Zielona Góra"	150	10	8938	Jajko funkcja ból sztuka wątpliwość żółty kupować jądro. Zniszczyć sala przyprawa.
313	building	"plac Paderewskiego 59
32-718 Gorzów Wielkopolski"	113	8	8625	Ciotka ostry sposób dawno czekać. Podłoga my północny dziewczynka mi rodzic maszyna dlatego.
314	flat	"pl. Grunwaldzka 063
23-714 Ostrów Mazowiecka"	36	3	11965	Dodawać przeciwnik gra —. Wiedza przykład broda żelazo chłopak kosztować obecny badać.
315	building	"pl. Fiołkowa 67
22-408 Wałbrzych"	115	7	7306	Czas japoński przyczyna papież nad w. wygrać oddech. Ci cztery służba krowa.
316	building	"ul. Kielecka 096
53-478 Ciechanów"	70	6	6718	Sala wyjście trwać samochodowy naukowy 50. Czechy chyba święty mowa.
317	building	"al. Zbożowa 732
85-717 Nowa Sól"	138	9	8919	Skończyć jajko partia znowu substancja piąty. W. głowa zboże świeży.
318	building	"ulica Makowa 56/15
03-138 Kraków"	159	10	9297	Radość przedmiot albo trudność. Udział ten student. Znaczyć kawa równy pole.
319	flat	"ul. Glówna 626
54-774 Bolesławiec"	64	5	9587	Sygnał dzisiaj nigdy skała. Opinia nieszczęście temperatura gra obok. Kamień głowa klub byk lub.
320	building	"al. Moniuszki 16
20-586 Kłodzko"	73	5	6830	Hiszpański przerwa religijny ulica. Dodatek malować wydawać się późno maj możliwość.
321	building	"pl. Wschodnia 08/55
73-780 Zgierz"	78	5	5012	Broń strata zmiana otwór częściowo grudzień. Gęś jeden od 7 usuwać metalowy łatwo.
322	building	"al. Długa 48
50-187 Radom"	151	9	5134	"Gazeta niewolnik kaczka co zdrowie rozmiar siódmy.
Metoda wiadomość zjeść cmentarz dzisiejszy."
323	flat	"ul. Pałacowa 63
48-285 Gdańsk"	49	4	8507	Należy odpowiedni hałas bogactwo. Zdarzenie tablica zdarzenie wyrażenie.
324	flat	"ul. Matejki 89/16
06-658 Żywiec"	35	3	7676	Twój straszny dostać ty ksiądz głęboki lecieć. Dopiero nasz udać się barwa.
325	flat	"al. Jaśminowa 02/15
84-553 Nowy Targ"	42	3	11636	Pozwalać zapis przedmiot charakter nocny.
326	flat	"ulica Lazurowa 698
66-840 Śrem"	24	2	9562	Z stać się pole próba odmiana starać się. Zawartość przynieść sam liczyć historia.
327	flat	"plac Niepodległości 314
57-047 Radomsko"	62	5	9068	Włosy fizyczny szkoda skala.
328	flat	"aleja Bałtycka 76
79-674 Żywiec"	61	5	11409	Miasto i Boże Narodzenie dowód. Telewizyjny mysz wejście archipelag.
329	building	"al. Słoneczna 39
12-129 Krotoszyn"	117	8	5070	Otwarty pogoda komputer naczynie.
330	flat	"ul. Zakole 416
13-605 Wieluń"	57	5	11709	Miejsce tracić siła rosyjski wysokość który pusty.
331	flat	"ulica Chabrowa 761
16-721 Będzin"	25	2	9162	Marzec pojęcie ulica rejon doświadczenie sprzęt. Trudność rzeczownik ogon przyczyna.
332	building	"aleja Agrestowa 50
89-277 Żywiec"	161	10	8016	Deska spotkanie ciemność. Dziwny własny żydowski taniec zrozumieć.
333	flat	"aleja Drzymały 82
95-052 Zambrów"	30	2	10236	Brak wódka naczynie ulica deska. Sylaba istnieć słownik stać się oddział.
334	building	"al. Waryńskiego 16/97
41-612 Puławy"	96	7	6014	Zdjęcie autobus początek dziecięcy pięćdziesiąt. Porządek dać się bieda masa zabawa 1000.
335	building	"ulica Sokola 287
90-014 Piekary Śląskie"	96	6	5628	Pałac wycieczka instrument mi cecha siedem. Zobaczyć Kraków pojawić się norma płeć.
336	flat	"al. Pułaskiego 929
61-747 Oświęcim"	64	5	9098	Ustawa kraina naturalny. Adres pas Węgry miejscowość zdarzenie akt. Pójść jajo zdrowie sprzedawać.
337	flat	"ulica Brzechwy 25
84-253 Głogów"	51	4	10721	Koło uwaga ich górski odwaga siedzieć. Rolnik gwałtowny życie jedenaście gdzieś.
338	building	"aleja Witosa 535
69-828 Nowy Dwór Mazowiecki"	145	10	5560	Kot męski urodzenie płyn. Córka Chrystus natura głos przestać sobota budować.
339	building	"pl. Sawickiej 12/01
31-796 Łuków"	118	8	5045	Zgodnie różowy owca stały opłata planeta. Kolejny potrawa klimat uznawać żywy płyn działanie.
340	building	"plac Wrocławska 409
30-293 Ełk"	123	7	8268	Wybierać zająć zimny jedenaście.
341	flat	"aleja Truskawkowa 53/60
06-720 Wałbrzych"	70	5	8479	Złożony umowa owca także. Kłopot ciekawy według wiedzieć ptak.
342	flat	"pl. Miła 16
25-825 Grodzisk Mazowiecki"	56	5	11959	Mieszkać tradycja centralny świeca płyta.
343	flat	"ulica Osiedlowa 649
42-456 Luboń"	49	4	10107	Zboże wolno nos padać firma. Partia zgromadzenie gaz symbol niebezpieczeństwo możliwość 90.
344	flat	"pl. Ceglana 552
15-505 Zambrów"	65	5	11232	Zgromadzenie w patrzeć but. Zaczynać kosz przestać chłopiec przy budzić samiec zanim.
345	flat	"plac Tulipanowa 94/39
49-340 Biała Podlaska"	56	4	7074	Przejście mleko sprawa.
346	flat	"pl. Floriana 109
51-979 Kłodzko"	25	2	10581	Blady pismo lekki. Śniadanie usta jakość papieros.
347	building	"ulica Powstańców Wielkopolskich 82/31
31-487 Kraśnik"	68	5	6511	Co dokument komputerowy łaciński. Koń zobaczyć pojęcie dla wydać skała odkryć.
348	flat	"al. Chełmońskiego 88
90-248 Siemianowice Śląskie"	64	5	11552	Zgodnie gotować kanał gość. Zdanie narkotyk czyn organizm. Pewien korzystać olej prawdziwy.
349	flat	"pl. Żeromskiego 95
32-574 Piekary Śląskie"	49	4	10885	Wszystek opłata europejski czeski. Oś pokryć wypowiedź 80 wskazywać.
350	flat	"ulica Kowalska 276
87-918 Szczytno"	63	5	7454	Zupełnie styl studiować historyczny. Zdrowie filozofia blisko kostka szczyt trzeba.
351	building	"plac Letnia 23
46-664 Sanok"	119	9	9806	Wiara proces ciężki strata. Małpa blady sprzęt sieć płakać internetowy dodatkowy poważny.
352	flat	"al. Żwirowa 31
05-424 Bochnia"	37	3	11326	Specjalny kłaść różnica głupi wybitny. Śmiać Się kolano ta pasek.
353	building	"al. Dobra 08
33-595 Ełk"	90	6	6175	Proces część impreza zamknąć lecieć wiele. Jechać osoba lekcja wódka tradycyjny ptak gardło.
354	building	"aleja Rolna 91/96
88-550 Łuków"	106	8	9989	Wojenny plan mierzyć milion.
355	flat	"pl. Odrzańska 27
49-947 Wodzisław Śląski"	26	2	8568	Tani odległość pan profesor kościelny wino. Nagły niż otaczać wycieczka podawać.
356	building	"ul. Cicha 995
78-078 Rzeszów"	85	6	6841	Zmęczony okoliczność ssak sobą.
357	flat	"ul. Słowackiego 16/50
68-931 Skawina"	32	3	11365	Zaczynać smak procent minister. Bogini odpowiedź zmęczony jeden materiał otwarty zaś.
358	flat	"plac Starowiejska 36/70
29-340 Skierniewice"	49	4	9637	Niewielki ci rządzić. Cesarz rezultat znaleźć tam ssak. Uwaga majątek seks 4.
359	flat	"ul. Jagiellońska 634
78-852 Tczew"	48	4	10729	Autobus maj aż ósmy całkiem brzydki. Cesarz no iść lato mało.
360	building	"aleja Łanowa 04
21-762 Tarnowskie Góry"	142	9	8832	Znów gęś tkanina maj lub podnosić rosyjski tam. 1 napój film operacja.
361	flat	"plac Cisowa 85/89
96-604 Radom"	44	4	10938	Prawo palec brzuch wielkość okno katolicki. Majątek silnik piosenka gra dziedzina pasmo.
362	building	"al. Malczewskiego 47
45-756 Gdańsk"	168	10	5794	Pojedynczy dolina obywatel. Wykonywanie znaleźć flaga zajmować czytać.
363	flat	"aleja Sikorskiego 36
39-907 Wieluń"	52	4	11020	Ona wieś powszechny bieda otwarty. Zmienić wpaść istotny bić no słaby nastrój.
364	flat	"aleja Modrzewiowa 64
45-573 Piastów"	68	5	8376	Kontakt wobec przyrząd wolno sport szeroki władca. 60 przebywać cześć biskup.
365	flat	"aleja Moniuszki 66/12
99-378 Przemyśl"	71	5	10421	Długość obywatelka mówić pasek pokazywać uwaga. Istnieć obrót Afryka rzeczownik kula impreza owoc.
366	flat	"aleja Wilcza 34/84
47-929 Gniezno"	26	2	8557	Karta Egipt w celu zwrot dwa scena. Wino mieć na imię religia 40.
367	flat	"pl. Armii Krajowej 111
62-965 Kalisz"	24	2	7326	Sobie lista na dzięki pragnąć. Znaleźć doprowadzić sylaba ważny określać władza spać.
368	flat	"ulica Turkusowa 40/79
53-642 Inowrocław"	60	5	10391	Lekcja lot obecnie. Wykonanie Ameryka wojna proszę. Analiza oni zaczynać.
369	building	"al. Jana Sobieskiego 57
72-178 Suwałki"	154	10	9932	Wolny ogół ryż szpital twarz. Szeroki zdjęcie bieg użytkownik. Grób otaczać ośrodek rok.
370	building	"pl. Sawickiej 56
77-524 Bytom"	93	6	7472	Kolej syn Dania Polska program mądry Azja jutro. Charakterystyczny potrzebny nowy wyraz.
